13:16:33.88843 2020-07-06	started SetCameraFocus(You)
13:19:19.81711 2020-07-06	succeeded SetDialog("That still doesn't justify you being here. If you're not here to serve, you have little time to leave to whatever hole you crawled out of.\n[serve|What do you need me to do?]\n[leave|Leave]")
13:19:20.99807 2020-07-06	input Selected serve
13:19:21.03407 2020-07-06	started ClearDialog()
13:19:21.03807 2020-07-06	started SetExpression(Fia the Deathseeker)
13:19:21.04307 2020-07-06	started SetDialog("Hmm. The prisoners must be fed in the dungeon. Since there are no minions around, I recon you could handle a trivial task as such.\n[leave|Leave]\n[dungeon|(Go to the dungeon)]")
13:19:21.07107 2020-07-06	succeeded ClearDialog()
13:19:21.07507 2020-07-06	succeeded SetExpression(Fia the Deathseeker)
13:19:21.07907 2020-07-06	succeeded SetDialog("Hmm. The prisoners must be fed in the dungeon. Since there are no minions around, I recon you could handle a trivial task as such.\n[leave|Leave]\n[dungeon|(Go to the dungeon)]")
13:19:22.56907 2020-07-06	input Selected leave
13:19:22.60507 2020-07-06	started HideDialog()
13:19:22.61206 2020-07-06	started EnableInput()
13:19:22.61707 2020-07-06	started StopSound()
13:19:22.64407 2020-07-06	succeeded HideDialog()
13:19:22.64907 2020-07-06	succeeded EnableInput()
13:19:22.65207 2020-07-06	succeeded StopSound()
13:19:23.69172 2020-07-06	input started walking You at (2391.1, 24.5, 37.7)
13:19:23.69572 2020-07-06	input stopped walking You at (2391.1, 24.5, 37.7)
13:19:23.75572 2020-07-06	input started walking You at (2391.1, 24.5, 37.7)
13:19:23.95572 2020-07-06	input exited You position Fia the Deathseeker
13:19:24.02172 2020-07-06	input exited You position Ruins.Throne
13:19:24.68073 2020-07-06	input arrived You at (2388.8, 24.4, 38.5)
13:19:25.33829 2020-07-06	input arrived You position Ruins.Altar
13:19:25.75229 2020-07-06	input exited You position Ruins.Altar
13:19:26.72929 2020-07-06	input arrived You at (2382.1, 23.0, 37.5)
13:19:28.77804 2020-07-06	input arrived You at (2375.5, 21.5, 37.4)
13:19:29.52903 2020-07-06	input arrived You position Ruins.Exit
13:19:29.53704 2020-07-06	started Exit(You, Ruins.Exit, true)
13:19:31.89105 2020-07-06	input arrived You at (2369.4, 21.3, 37.4)
13:19:32.05307 2020-07-06	succeeded Exit(You, Ruins.Exit, true)
13:19:32.13407 2020-07-06	started Enter(You, SpookyPath.WestEnd, true)
13:19:34.57499 2020-07-06	input stopped walking You at (2099.9, 0.0, -4.0)
13:19:34.60999 2020-07-06	input started walking You at (2099.9, 0.1, -4.0)
13:19:34.61499 2020-07-06	input arrived You at (2099.9, 0.1, -4.0)
13:19:34.67799 2020-07-06	input started walking You at (2099.9, 0.1, -4.0)
13:19:34.71499 2020-07-06	input started walking You at (2099.9, 0.1, -4.0)
13:19:34.71999 2020-07-06	input stopped walking You at (2099.9, 0.1, -4.0)
13:19:34.76099 2020-07-06	input started walking You at (2099.9, 0.1, -4.0)
13:19:34.95999 2020-07-06	succeeded Enter(You, SpookyPath.WestEnd, true)
13:19:36.61673 2020-07-06	input arrived You at (2098.6, 0.1, 1.5)
13:19:38.62904 2020-07-06	input arrived You at (2100.8, 0.1, 8.1)
13:19:40.63319 2020-07-06	input arrived You at (2099.5, 0.1, 14.8)
13:19:41.18819 2020-07-06	input arrived You position SpookyPath.EastEnd
13:19:41.19421 2020-07-06	started Exit(You, SpookyPath.EastEnd, true)
13:19:42.67580 2020-07-06	input arrived You at (2096.8, 0.0, 19.8)
13:19:42.73080 2020-07-06	succeeded Exit(You, SpookyPath.EastEnd, true)
13:19:42.76080 2020-07-06	started Enter(You, CastleCrossroads.EastEnd, true)
13:19:45.20380 2020-07-06	input started walking You at (-1202.2, 0.1, -6.3)
13:19:45.20879 2020-07-06	input arrived You at (-1202.2, 0.1, -6.3)
13:19:45.21180 2020-07-06	input stopped walking You at (-1202.2, 0.1, -6.3)
13:19:45.24280 2020-07-06	input started walking You at (-1202.2, 0.1, -6.3)
13:19:45.27680 2020-07-06	input started walking You at (-1202.2, 0.1, -6.3)
13:19:45.31280 2020-07-06	input started walking You at (-1202.2, 0.1, -6.3)
13:19:45.31580 2020-07-06	input stopped walking You at (-1202.2, 0.1, -6.3)
13:19:45.34280 2020-07-06	input started walking You at (-1202.2, 0.1, -6.3)
13:19:45.46280 2020-07-06	succeeded Enter(You, CastleCrossroads.EastEnd, true)
13:19:47.05672 2020-07-06	input arrived You position CastleCrossroads.Left
13:19:47.20572 2020-07-06	input arrived You at (-1196.6, 0.1, -6.5)
13:19:47.63772 2020-07-06	input exited You position CastleCrossroads.Left
13:19:48.99002 2020-07-06	input arrived You position CastleCrossroads.Right
13:19:49.21103 2020-07-06	input arrived You at (-1190.0, 0.1, -7.2)
13:19:49.59004 2020-07-06	input exited You position CastleCrossroads.Right
13:19:50.36804 2020-07-06	input arrived You position CastleCrossroads.WestSign
13:19:50.99904 2020-07-06	input exited You position CastleCrossroads.WestSign
13:19:51.22905 2020-07-06	input arrived You at (-1183.4, 0.1, -9.1)
13:19:52.03804 2020-07-06	input arrived You position CastleCrossroads.WestEnd
13:19:52.04604 2020-07-06	started Exit(You, CastleCrossroads.WestEnd, true)
13:19:52.32504 2020-07-06	input exited You position CastleCrossroads.WestEnd
13:19:53.76014 2020-07-06	input arrived You at (-1180.1, 0.0, -13.9)
13:19:53.80614 2020-07-06	succeeded Exit(You, CastleCrossroads.WestEnd, true)
13:19:53.84214 2020-07-06	started Enter(You, Library.Door, true)
13:19:54.03514 2020-07-06	input arrived You position Library.Door.Out
13:19:57.86737 2020-07-06	input arrived You position Library.Door
13:19:57.87237 2020-07-06	input arrived You position Library.Door.In
13:19:58.16737 2020-07-06	input started walking You at (1804.4, -7.3, -0.6)
13:19:58.17237 2020-07-06	input arrived You at (1804.4, -7.3, -0.6)
13:19:58.23737 2020-07-06	input started walking You at (1804.4, -7.3, -0.6)
13:19:58.24238 2020-07-06	input stopped walking You at (1804.4, -7.3, -0.6)
13:19:58.33837 2020-07-06	input started walking You at (1804.3, -7.3, -0.6)
13:19:58.52437 2020-07-06	input exited You position Library.Door
13:19:58.69337 2020-07-06	input exited You position Library.Door.In
13:19:58.95837 2020-07-06	input started walking You at (1802.8, -6.4, -0.5)
13:19:59.05337 2020-07-06	input started walking You at (1802.8, -6.4, -0.5)
13:19:59.34338 2020-07-06	succeeded Enter(You, Library.Door, true)
13:19:59.39808 2020-07-06	started EnableIcon(TravelLibrary, Cottage, Courtyard.Horse, Travel to the Library, false)
13:19:59.45208 2020-07-06	succeeded EnableIcon(TravelLibrary, Cottage, Courtyard.Horse, Travel to the Library, false)
13:20:00.16908 2020-07-06	input arrived You at (1800.8, -5.6, 1.8)
13:20:01.70008 2020-07-06	input arrived You position Emmilia
13:20:02.18608 2020-07-06	input started walking You at (1801.3, -5.7, 8.8)
13:20:02.19108 2020-07-06	input arrived You at (1801.3, -5.7, 8.8)
13:20:02.19508 2020-07-06	input stopped walking You at (1801.3, -5.7, 8.8)
13:20:02.24059 2020-07-06	input started walking You at (1801.3, -5.7, 8.8)
13:20:02.92610 2020-07-06	input exited You position Emmilia
13:20:03.56110 2020-07-06	input stopped walking You at (1804.4, -5.7, 7.3)
13:20:04.21211 2020-07-06	input arrived You at (1804.4, -5.7, 7.3)
13:20:04.66708 2020-07-06	input Talk Emmilia
13:20:04.75108 2020-07-06	started SetLeft(You)
13:20:04.76808 2020-07-06	started SetRight(Emmilia)
13:20:04.77408 2020-07-06	started WalkTo(You, Emmilia)
13:20:04.77908 2020-07-06	input started walking You at (1804.4, -5.7, 7.3)
13:20:04.78508 2020-07-06	input started walking You at (1804.4, -5.7, 7.3)
13:20:04.83308 2020-07-06	succeeded SetLeft(You)
13:20:04.83708 2020-07-06	succeeded SetRight(Emmilia)
13:20:04.84108 2020-07-06	input started walking You at (1804.4, -5.7, 7.3)
13:20:05.69438 2020-07-06	input arrived You position Emmilia
13:20:05.70238 2020-07-06	succeeded WalkTo(You, Emmilia)
13:20:05.77139 2020-07-06	started SetDialog("Ah! You must be here to read? Mustn't you? To learn about the herbs and chemistry. \"Why do you have to be so buoyant, Emmilia? He's illiterate.\" That is presumptuous of you! Are you, sir? Are you illiterate?\n[notilliterate|No, I am not. I am not here to read either]\n[someoneelse|Is there someone else with us in this room?]")
13:20:05.87738 2020-07-06	succeeded SetDialog("Ah! You must be here to read? Mustn't you? To learn about the herbs and chemistry. \"Why do you have to be so buoyant, Emmilia? He's illiterate.\" That is presumptuous of you! Are you, sir? Are you illiterate?\n[notilliterate|No, I am not. I am not here to read either]\n[someoneelse|Is there someone else with us in this room?]")
13:20:05.93138 2020-07-06	started ShowDialog()
13:20:06.02138 2020-07-06	succeeded ShowDialog()
13:20:07.21139 2020-07-06	input Selected notilliterate
13:20:07.27039 2020-07-06	started ClearDialog()
13:20:07.27439 2020-07-06	started SetExpression(Emmilia, happy)
13:20:07.32339 2020-07-06	succeeded ClearDialog()
13:20:07.32739 2020-07-06	succeeded SetExpression(Emmilia, happy)
13:20:07.42439 2020-07-06	started SetDialog("Splendid! You see, I am the kingdom's brightest chemist. I can brew potions for every need! \"Do you want to find love? or do you want to have a courageous heart? or do you want to make one die a painful horrid death?\"\nNow, now! Don't scare off this child!\n[continue|Please continue]\n[leave|Leave]")
13:20:07.47239 2020-07-06	succeeded SetDialog("Splendid! You see, I am the kingdom's brightest chemist. I can brew potions for every need! \"Do you want to find love? or do you want to have a courageous heart? or do you want to make one die a painful horrid death?\"\nNow, now! Don't scare off this child!\n[continue|Please continue]\n[leave|Leave]")
13:20:08.38639 2020-07-06	input Selected continue
13:20:08.45839 2020-07-06	started ClearDialog()
13:20:08.46239 2020-07-06	started SetExpression(Emmilia, happy)
13:20:08.51739 2020-07-06	succeeded ClearDialog()
13:20:08.52139 2020-07-06	succeeded SetExpression(Emmilia, happy)
13:20:08.58340 2020-07-06	started SetDialog("You're here to pledge allegiance with us, aren't you? I'm thrilled. We have the power to vanquish our competition. \"We hate sharing! We want it all!\" Calm yourself my dear. In due time!\n[continue2|Carry on]")
13:20:08.64939 2020-07-06	succeeded SetDialog("You're here to pledge allegiance with us, aren't you? I'm thrilled. We have the power to vanquish our competition. \"We hate sharing! We want it all!\" Calm yourself my dear. In due time!\n[continue2|Carry on]")
13:20:09.39540 2020-07-06	input Selected continue2
13:20:09.45539 2020-07-06	started ClearDialog()
13:20:09.45939 2020-07-06	started SetExpression(Emmilia, disgusted)
13:20:09.51939 2020-07-06	succeeded ClearDialog()
13:20:09.52439 2020-07-06	succeeded SetExpression(Emmilia, disgusted)
13:20:09.58641 2020-07-06	started SetDialog("Go to LionHeart and Fia the Deathseeker and pretend you desire to serve them. Gather information that we can use against them in their demise.\n[tellLionheart|Tell her about LionHeart]\n[tellNecro|Tell her about Fia the Deathseeker]\n[leave|Leave]")
13:20:09.67739 2020-07-06	succeeded SetDialog("Go to LionHeart and Fia the Deathseeker and pretend you desire to serve them. Gather information that we can use against them in their demise.\n[tellLionheart|Tell her about LionHeart]\n[tellNecro|Tell her about Fia the Deathseeker]\n[leave|Leave]")
13:20:10.58091 2020-07-06	input Selected tellNecro
13:20:10.64291 2020-07-06	started ClearDialog()
13:20:10.64691 2020-07-06	started SetExpression(Emmilia, angry)
13:20:10.71091 2020-07-06	succeeded ClearDialog()
13:20:10.71591 2020-07-06	succeeded SetExpression(Emmilia, angry)
13:20:10.77991 2020-07-06	started SetDialog("Feeding people? \"Don't be so naive! He's cursed with pyromania! He burnt down all the farms in his kingdom! His reign of terror must cease to exist!\"\n[emmOther|Something else]")
13:20:10.90492 2020-07-06	succeeded SetDialog("Feeding people? \"Don't be so naive! He's cursed with pyromania! He burnt down all the farms in his kingdom! His reign of terror must cease to exist!\"\n[emmOther|Something else]")
13:20:11.63151 2020-07-06	input Selected emmOther
13:20:11.69151 2020-07-06	started ClearDialog()
13:20:11.69551 2020-07-06	started SetExpression(Emmilia)
13:20:11.75551 2020-07-06	succeeded ClearDialog()
13:20:11.75951 2020-07-06	succeeded SetExpression(Emmilia)
13:20:11.86751 2020-07-06	started SetDialog("Go to LionHeart and Fia the Deathseeker and pretend you desire to serve them. Gather information that we can use against them in their demise.\n[tellLionheart|Tell her about LionHeart]\n[tellNecro|Tell her about Fia the Deathseeker]\n[leave|Leave]")
13:20:11.92151 2020-07-06	succeeded SetDialog("Go to LionHeart and Fia the Deathseeker and pretend you desire to serve them. Gather information that we can use against them in their demise.\n[tellLionheart|Tell her about LionHeart]\n[tellNecro|Tell her about Fia the Deathseeker]\n[leave|Leave]")
13:20:12.57104 2020-07-06	input Selected tellLionheart
13:20:12.64104 2020-07-06	started ClearDialog()
13:20:12.64504 2020-07-06	started SetExpression(Emmilia, angry)
13:20:12.73304 2020-07-06	succeeded ClearDialog()
13:20:12.73704 2020-07-06	succeeded SetExpression(Emmilia, angry)
13:20:12.78504 2020-07-06	started SetDialog("A bandit you say? \"He lies! There is no bandit! That's how he rids of those in his way. LionHeart the Just! Pff!\"\n[emmQuest|Next]")
13:20:12.85004 2020-07-06	succeeded SetDialog("A bandit you say? \"He lies! There is no bandit! That's how he rids of those in his way. LionHeart the Just! Pff!\"\n[emmQuest|Next]")
13:20:13.52604 2020-07-06	input Selected emmQuest
13:20:13.59604 2020-07-06	started ClearDialog()
13:20:13.60004 2020-07-06	started SetExpression(Emmilia, happy)
13:20:13.66004 2020-07-06	succeeded ClearDialog()
13:20:13.66404 2020-07-06	succeeded SetExpression(Emmilia, happy)
13:20:13.73904 2020-07-06	started DisableInput()
13:20:13.74304 2020-07-06	started CreateEffect(You, Resurrection)
13:20:13.75104 2020-07-06	started PlaySound(spell)
13:20:13.86405 2020-07-06	succeeded DisableInput()
13:20:13.86805 2020-07-06	succeeded CreateEffect(You, Resurrection)
13:20:13.87405 2020-07-06	succeeded PlaySound(spell)
13:20:14.72205 2020-07-06	started SetNarration(You earned a new skill point. Press E to open the skills menu and upgrade your skills.)
13:20:14.72605 2020-07-06	started ShowNarration()
13:20:14.73005 2020-07-06	started EnableInput()
13:20:14.73305 2020-07-06	started SetDialog("Here! This will help you help me in a more timely fashion! \"What are you doing? That is very valuable Emmilia!\" He has earned it!\n[emmQuest1.5|Thank you my lady!]\n[emmQuest1.5|(Take the compass)]")
13:20:14.78205 2020-07-06	succeeded SetNarration(You earned a new skill point. Press E to open the skills menu and upgrade your skills.)
13:20:14.78505 2020-07-06	succeeded ShowNarration()
13:20:14.78905 2020-07-06	succeeded EnableInput()
13:20:14.79405 2020-07-06	succeeded SetDialog("Here! This will help you help me in a more timely fashion! \"What are you doing? That is very valuable Emmilia!\" He has earned it!\n[emmQuest1.5|Thank you my lady!]\n[emmQuest1.5|(Take the compass)]")
13:20:16.33808 2020-07-06	input Close Narration
13:20:16.39208 2020-07-06	started HideNarration()
13:20:16.47008 2020-07-06	succeeded HideNarration()
13:20:17.77951 2020-07-06	input Selected emmQuest1.5
13:20:17.85451 2020-07-06	started ClearDialog()
13:20:17.85951 2020-07-06	started SetExpression(Emmilia, sad)
13:20:17.93451 2020-07-06	succeeded ClearDialog()
13:20:17.93951 2020-07-06	succeeded SetExpression(Emmilia, sad)
13:20:18.01651 2020-07-06	started SetDialog("I deserve to rule this kingdom. \"WE deserve to rule this kingdom.\" They called me mad! \"Mad witch!\" Shut up! I have had enough. Oh! you're still here. Good! It's time to put those two unwitting gouls out of their misery\n(You need Alchemy skill of 3 or higher to proceed)\n[leave|Leave]")
13:20:18.14603 2020-07-06	succeeded SetDialog("I deserve to rule this kingdom. \"WE deserve to rule this kingdom.\" They called me mad! \"Mad witch!\" Shut up! I have had enough. Oh! you're still here. Good! It's time to put those two unwitting gouls out of their misery\n(You need Alchemy skill of 3 or higher to proceed)\n[leave|Leave]")
13:20:19.77903 2020-07-06	input Selected leave
13:20:19.83305 2020-07-06	started HideDialog()
13:20:19.84355 2020-07-06	started EnableInput()
13:20:19.84654 2020-07-06	started StopSound()
13:20:19.92155 2020-07-06	succeeded HideDialog()
13:20:19.92554 2020-07-06	succeeded EnableInput()
13:20:19.92855 2020-07-06	succeeded StopSound()
13:20:19.93155 2020-07-06	input arrived You at (1802.3, -5.7, 6.9)
13:20:22.38933 2020-07-06	input Key Inventory
13:20:22.41933 2020-07-06	started ClearList()
13:20:22.45233 2020-07-06	succeeded ClearList()
13:20:22.49533 2020-07-06	started AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:20:22.51333 2020-07-06	started AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:20:22.52333 2020-07-06	started ShowList(You, You)
13:20:22.57433 2020-07-06	succeeded AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:20:22.57733 2020-07-06	succeeded AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:20:22.58033 2020-07-06	succeeded ShowList(You, You)
13:20:24.73385 2020-07-06	input Touch Compass
13:20:24.75885 2020-07-06	started DisableInput()
13:20:24.79484 2020-07-06	succeeded DisableInput()
13:20:24.82285 2020-07-06	started HideList()
13:20:24.82885 2020-07-06	started FadeOut()
13:20:24.86385 2020-07-06	succeeded HideList()
13:20:25.86885 2020-07-06	succeeded FadeOut()
13:20:25.89785 2020-07-06	started SetPosition(You, Courtyard.Fountain)
13:20:26.13286 2020-07-06	input arrived You position Courtyard.Fountain
13:20:26.13785 2020-07-06	input exited You position Emmilia
13:20:26.27586 2020-07-06	input stopped walking You at (905.2, -3.3, -6.8)
13:20:26.70085 2020-07-06	succeeded SetPosition(You, Courtyard.Fountain)
13:20:26.79286 2020-07-06	started Face(You, Courtyard.Fountain)
13:20:28.71185 2020-07-06	succeeded Face(You, Courtyard.Fountain)
13:20:28.75886 2020-07-06	started FadeIn()
13:20:29.83585 2020-07-06	succeeded FadeIn()
13:20:29.88989 2020-07-06	started EnableInput()
13:20:29.93488 2020-07-06	succeeded EnableInput()
13:20:29.93988 2020-07-06	input arrived You at (905.2, -3.3, -6.8)
13:20:33.82796 2020-07-06	input TravelGreatHall Courtyard.Horse
13:20:33.88095 2020-07-06	started DisableInput()
13:20:33.88495 2020-07-06	started FadeOut()
13:20:33.92995 2020-07-06	succeeded DisableInput()
13:20:34.96595 2020-07-06	succeeded FadeOut()
13:20:35.01595 2020-07-06	started SetPosition(You, GreatHall)
13:20:35.36595 2020-07-06	input exited You position Courtyard.Fountain
13:20:35.63195 2020-07-06	succeeded SetPosition(You, GreatHall)
13:20:35.65895 2020-07-06	started FadeIn()
13:20:36.39895 2020-07-06	input Key Interact
13:20:36.68295 2020-07-06	succeeded FadeIn()
13:20:36.70795 2020-07-06	started EnableInput()
13:20:36.73095 2020-07-06	succeeded EnableInput()
13:20:36.73595 2020-07-06	input arrived You at (585.3, 2.7, -9.2)
13:20:37.22525 2020-07-06	input Key Interact
13:20:37.25325 2020-07-06	started ClearList()
13:20:37.29225 2020-07-06	succeeded ClearList()
13:20:37.32625 2020-07-06	started AddToList(Alchemy, The ability to mix and brew rudimentary and complex potions\nSkill Level:1)
13:20:37.33525 2020-07-06	started AddToList(Swordsmanship, The ability to wield heavy weaponary and armour\nSkill Level:1)
13:20:37.34625 2020-07-06	started AddToList(Magic, The ability to learn and cast novice and necromancy spells\nSkill Level:1)
13:20:37.35824 2020-07-06	started ShowList(You, Skills Available: 2)
13:20:37.39526 2020-07-06	succeeded AddToList(Alchemy, The ability to mix and brew rudimentary and complex potions\nSkill Level:1)
13:20:37.39925 2020-07-06	succeeded AddToList(Swordsmanship, The ability to wield heavy weaponary and armour\nSkill Level:1)
13:20:37.40325 2020-07-06	succeeded AddToList(Magic, The ability to learn and cast novice and necromancy spells\nSkill Level:1)
13:20:37.40625 2020-07-06	succeeded ShowList(You, Skills Available: 2)
13:20:41.92463 2020-07-06	input Upgrade Swordsmanship
13:20:41.95762 2020-07-06	started HideList()
13:20:41.96463 2020-07-06	started PlaySound(Spell2)
13:20:41.99162 2020-07-06	succeeded HideList()
13:20:41.99562 2020-07-06	succeeded PlaySound(Spell2)
13:20:43.01877 2020-07-06	input Key Interact
13:20:43.04178 2020-07-06	started ClearList()
13:20:43.06577 2020-07-06	succeeded ClearList()
13:20:43.09978 2020-07-06	started AddToList(Alchemy, The ability to mix and brew rudimentary and complex potions\nSkill Level:1)
13:20:43.10678 2020-07-06	started AddToList(Swordsmanship, The ability to wield heavy weaponary and armour\nSkill Level:2)
13:20:43.11777 2020-07-06	started AddToList(Magic, The ability to learn and cast novice and necromancy spells\nSkill Level:1)
13:20:43.12878 2020-07-06	started ShowList(You, Skills Available: 1)
13:20:43.17177 2020-07-06	succeeded AddToList(Alchemy, The ability to mix and brew rudimentary and complex potions\nSkill Level:1)
13:20:43.17477 2020-07-06	succeeded AddToList(Swordsmanship, The ability to wield heavy weaponary and armour\nSkill Level:2)
13:20:43.17777 2020-07-06	succeeded AddToList(Magic, The ability to learn and cast novice and necromancy spells\nSkill Level:1)
13:20:43.17977 2020-07-06	succeeded ShowList(You, Skills Available: 1)
13:20:45.12878 2020-07-06	input Upgrade Swordsmanship
13:20:45.15278 2020-07-06	started HideList()
13:20:45.15778 2020-07-06	started PlaySound(Spell2)
13:20:45.18065 2020-07-06	succeeded HideList()
13:20:45.18465 2020-07-06	succeeded PlaySound(Spell2)
13:20:45.68099 2020-07-06	input started walking You at (585.3, 2.7, -9.2)
13:20:45.71201 2020-07-06	input started walking You at (585.7, 2.7, -9.2)
13:20:47.20781 2020-07-06	input arrived You at (581.2, 2.7, -9.2)
13:20:48.75483 2020-07-06	input stopped walking You at (579.2, 2.7, -7.9)
13:20:48.77581 2020-07-06	input started walking You at (579.2, 2.7, -7.9)
13:20:48.79781 2020-07-06	input started walking You at (579.2, 2.7, -7.9)
13:20:49.20781 2020-07-06	input arrived You at (579.2, 2.7, -8.6)
13:20:51.21995 2020-07-06	input arrived You at (577.0, 3.6, -8.8)
13:20:53.23995 2020-07-06	input arrived You at (577.0, 7.6, -2.9)
13:20:54.51295 2020-07-06	input arrived You position GreatHall.LeftSupplicant
13:20:55.09548 2020-07-06	input exited You position GreatHall.LeftSupplicant
13:20:55.24547 2020-07-06	input arrived You at (582.3, 7.6, 0.7)
13:20:56.17047 2020-07-06	input stopped walking You at (584.6, 7.6, 2.5)
13:20:56.67148 2020-07-06	input Talk Lionheart The Just
13:20:56.70049 2020-07-06	started SetLeft(You)
13:20:56.70547 2020-07-06	started SetRight(Lionheart The Just)
13:20:56.71147 2020-07-06	started WalkTo(You, Lionheart The Just)
13:20:56.71647 2020-07-06	input started walking You at (584.6, 7.6, 2.5)
13:20:56.72447 2020-07-06	input started walking You at (584.6, 7.6, 2.5)
13:20:56.74747 2020-07-06	succeeded SetLeft(You)
13:20:56.75147 2020-07-06	succeeded SetRight(Lionheart The Just)
13:20:56.75647 2020-07-06	input started walking You at (584.6, 7.6, 2.5)
13:20:57.24901 2020-07-06	input arrived You at (585.1, 7.8, 3.4)
13:20:57.43800 2020-07-06	input arrived You position Lionheart The Just
13:20:57.44199 2020-07-06	succeeded WalkTo(You, Lionheart The Just)
13:20:57.47200 2020-07-06	started SetDialog("Slendid! You have done the kingdom a favor. My people and I are greatful to you. I'd recon you are here to pledge your allegiance to me.\nIndeed, ou have proved your loyalty and mastered the skills to join my royalty. Before we proceed, I have another request.\n[lionheartkillorder1|Next]")
13:20:57.49799 2020-07-06	succeeded SetDialog("Slendid! You have done the kingdom a favor. My people and I are greatful to you. I'd recon you are here to pledge your allegiance to me.\nIndeed, ou have proved your loyalty and mastered the skills to join my royalty. Before we proceed, I have another request.\n[lionheartkillorder1|Next]")
13:20:57.52000 2020-07-06	started ShowDialog()
13:20:57.56999 2020-07-06	succeeded ShowDialog()
13:21:00.16910 2020-07-06	input Selected lionheartkillorder1
13:21:00.19910 2020-07-06	started ClearDialog()
13:21:00.23011 2020-07-06	succeeded ClearDialog()
13:21:00.25611 2020-07-06	started SetDialog("The kingdom is in peril as long as it is divided. The people are in constant fear and terror in the necromancer's domain.\nEmmilia has forsaken her people and locked herself in her library.\nI wouldn't hesitate to fight for my kingdom. However, breaking the truce wil ensue so many more deaths.\n[lionheartkillorder2|Next]")
13:21:00.31711 2020-07-06	succeeded SetDialog("The kingdom is in peril as long as it is divided. The people are in constant fear and terror in the necromancer's domain.\nEmmilia has forsaken her people and locked herself in her library.\nI wouldn't hesitate to fight for my kingdom. However, breaking the truce wil ensue so many more deaths.\n[lionheartkillorder2|Next]")
13:21:01.15111 2020-07-06	input Selected lionheartkillorder2
13:21:01.18011 2020-07-06	started ClearDialog()
13:21:01.20612 2020-07-06	succeeded ClearDialog()
13:21:01.23410 2020-07-06	started SetDialog("You have the power to act and put an end to them\nDo this and you shall have your place at my right hand.\nGo to the blacksmith. He shall provide you with a blessed armour that is immune to any unearthly magic.\n[lionheartkillorder3|Leave]")
13:21:01.26012 2020-07-06	succeeded SetDialog("You have the power to act and put an end to them\nDo this and you shall have your place at my right hand.\nGo to the blacksmith. He shall provide you with a blessed armour that is immune to any unearthly magic.\n[lionheartkillorder3|Leave]")
13:21:02.04617 2020-07-06	input Selected lionheartkillorder3
13:21:02.08816 2020-07-06	started EnableIcon(Take, hand, Spell Immunity Helmet, Take, true)
13:21:02.09517 2020-07-06	started DisableIcon(Inspect, Spell Immunity Helmet)
13:21:02.10417 2020-07-06	started HideDialog()
13:21:02.11017 2020-07-06	started EnableInput()
13:21:02.11396 2020-07-06	started StopSound()
13:21:02.13896 2020-07-06	succeeded EnableIcon(Take, hand, Spell Immunity Helmet, Take, true)
13:21:02.14496 2020-07-06	succeeded DisableIcon(Inspect, Spell Immunity Helmet)
13:21:02.14896 2020-07-06	succeeded HideDialog()
13:21:02.15296 2020-07-06	succeeded EnableInput()
13:21:02.15696 2020-07-06	succeeded StopSound()
13:21:02.16096 2020-07-06	input arrived You at (585.1, 8.0, 3.7)
13:21:03.19396 2020-07-06	input Talk Lionheart The Just
13:21:03.22096 2020-07-06	started SetLeft(You)
13:21:03.22696 2020-07-06	started SetRight(Lionheart The Just)
13:21:03.23196 2020-07-06	started WalkTo(You, Lionheart The Just)
13:21:03.23696 2020-07-06	input started walking You at (585.1, 8.0, 3.7)
13:21:03.24195 2020-07-06	input started walking You at (585.1, 8.0, 3.7)
13:21:03.24795 2020-07-06	input stopped walking You at (585.1, 8.0, 3.7)
13:21:03.29496 2020-07-06	succeeded SetLeft(You)
13:21:03.29796 2020-07-06	succeeded SetRight(Lionheart The Just)
13:21:03.30096 2020-07-06	input started walking You at (584.7, 8.0, 3.7)
13:21:03.32596 2020-07-06	input exited You position Lionheart The Just
13:21:03.49196 2020-07-06	input arrived You position Lionheart The Just
13:21:03.49796 2020-07-06	succeeded WalkTo(You, Lionheart The Just)
13:21:03.53195 2020-07-06	started SetDialog("You have the power to act and put an end to them\nDo this and you shall have your place at my right hand.\nGo to the blacksmith. He shall provide you with a blessed armour that is immune to any unearthly magic.\n[lionheartkillorder3|Leave]")
13:21:03.56296 2020-07-06	succeeded SetDialog("You have the power to act and put an end to them\nDo this and you shall have your place at my right hand.\nGo to the blacksmith. He shall provide you with a blessed armour that is immune to any unearthly magic.\n[lionheartkillorder3|Leave]")
13:21:03.60396 2020-07-06	started ShowDialog()
13:21:03.64500 2020-07-06	succeeded ShowDialog()
13:21:06.29016 2020-07-06	input Selected lionheartkillorder3
13:21:06.32749 2020-07-06	started EnableIcon(Take, hand, Spell Immunity Helmet, Take, true)
13:21:06.33449 2020-07-06	started DisableIcon(Inspect, Spell Immunity Helmet)
13:21:06.34149 2020-07-06	started HideDialog()
13:21:06.34549 2020-07-06	started EnableInput()
13:21:06.34849 2020-07-06	started StopSound()
13:21:06.36949 2020-07-06	failed EnableIcon(Take, hand, Spell Immunity Helmet, Take, true) "An icon with the same name has already been enabled for this object"
